English Term,POS Tags,Sanskrit Terms
genially,adv.,{#prasannaM/prasAdena/saprasAdaM/sAnandaM/pramodena/saharzaM#}
genialness,s.,{#sunandatA/ramyatA/ramaRIyatvaM/prasannatA/sAnandatA#}
geniculated,a.,{#jAnuparvvAkAragranTiyuktaH/granTilaH#}
genital,a.,{#prasavasambanDI/jananasambanDI/yOnaH#}
genitals,,{#upasTaH/SiSnAdi/BagAdi/aDoNgaM/jananANgaM#}
genitive,a. | s.,{#sambanDaH/SezaH#}
genitor,s.,{#janayitA/janitA/janakaH/jananaH/janmadaH#}
genius,s.,{#svaBAvaH/prakftiH/SIlaH/guRaH/DISaktiH/budDi/SaktiH/manaHSaktiH/manoyuktiH/budDisAmarTyaM/budDipraBAvaH/matisu/prayogatA/kalpanASaktiH/guRI/guRavAn/DISaktiyuktaH/budDiSaktimAn/yuktabudDiH/budDimAn/DImAn/viSezaRaM/lakzaRaM/svaBAvaH/svaDarmmaH/vfttiH/kavitASaktiH#}
genius,s.,{#BUtaH/asuraH/pretaH/piSAcaH;/durdEvaM;/sudEvaM/SuBadEvaM#}
genteel,a.,{#saByaH/saByAcArI/AryyaH/AryyavyavahAraH/AryyavfttaH/sadvfttaH/sujanaH/sADuvfttaH/sADuvyavahAraH/suSIlaH/agrAmya./SizwAcArI/mahAnuBAvaH/vinItaH/cAruH/lalitaH#}
genteelly,adv.,{#saByavat/suSIlavat/Aryyavat/sujanavat/saByAcArAnusAreRa#}
genteelness,s.,{#saByatA/AryyatvaM/saByAcAratvaM/AryyavfttatvaM/suSIlatA/SizwAcAratvaM/sOjanyaM/sujanatA/sADutA/vinItatvaM#}
gentian,s.,{#kirAtaH/kirAtatiktaH/anAryyatiktaH/cirAtiktaH/ciratiktaH/kARqatiktakaH/kErAtaM/BUnimbaH/BUtIkaH#}
gentile,s.,{#anyadeSIyaH/BinnadeSIyaH/BinnadeSIyalokaH/anyadeSIyalokaH/devatArccakaH/devatAByarccakaH/devArccakaH/gotrajaH;/jYAtivAcakaH#}
gentile,a.,{#anyadeSIyaH/BinnadeSIyaH/jAtIyaH#}
gentilism,s.,{#devArccakatvaM/devatArccanaM/devatAByarccanaM/BinnadeSIyatA#}
gentilitial,a.,{#kOlikaH/kUlajaH/vaMSikaH/vaMSyaH/jAtIyaH/dESikaH#}
gentility,s.,{#saByatA/saByAcAratvaM/suSIlatA/SizwAcAratvaM/AryyatvaM/AryyavfttatvaM/sOjanyaM/sujanatA/sADuvfttatvaM/suvinItatA/mahAnuBAvatA/kulInatA/mahAkulatvaM/vaMSaviSudDatA/kulotkarzaH#}
gentle,a.,{#kulInaH/satkulInaH/mahAkulaH/mahAkulaprasUtaH/sADujaH/sADuvaMSajaH/AryyavaMSajaH/sujanmA/kulakanyakA/mfduH/mfdulaH/mandaH/komalaH/sOmyaH/snigDaH/sukumAraH/masfRaH/anugraH/akarkaSaH/aparuzaH/acaRqaH/aKaraH/asAhasikaH/sukaraH/mfduBAvaH/mfdusvaBAvaH/SAntaH/upaSAntaH/SamI/dAntaH/mandAnilaH/mfduvAtaH;/mandahAsyaM/mandasmitaM/IzadDAsaH;/sOmyopacAraH/sAmopacAraH;/sAmnA;/priyavAkyaM/priyoditaM#}
gentle,s.,{#aliH/alI/kopakArI/n#}
gentlefolk,s.,{#AryyalokAH/sADujanAH/AryyamiSrAH/kulInalokaH#}
gentleman,s.,{#AryyaH/AryyajanaH/AryyamiSraH/sADuH/sADujanaH/mahASayaH/mahAnuBAvaH/kulInaH/kulInajanaH/satkulInaH/sujanaH/sujanmA/sajjanaH/sajjAtiH/mahAjanaH/satkulajAtaH/suvinItaH/SrI#}
gentleman-commoner,s.,{##}
gentlemanlike,a.,{#AryyavyavahArAnusArI/saByAcArAnusArI/saByaH/AryyavfttaH/suSIlaH/suvinItaH/SizwAcArayogyaH/AryyavfttiH/sOjanyaM#}
gentlemanliness,s.,{#AryyatvaM/suSIlatA/sOjanyaM/suvinItatA#}
gentleness,s.,{#mfdutA/mradimA/mArddavaM/mandatA/komalatA/sOmyatA/snigDatA/sOkumAryyaM/sukumAratA/anugratA/akArkaSyaM/akarkaSatvaM/aparuzatA/apArupyaM/acaRqatA/asAhasaM;/BAvamfdutA#}
gentlewoman,s.,{#AryyA#}
gently,adv.,{#SanEs/SanakEs/mfdu/anugraM/akarkaSaM/aparuzaM/acaRqaM#}
gentry,s.,{#AryyalokAH/AryyAH/sADulokAH/kulIna/lokAH/kulInavargaH/sujanavargaH/sujanatA/sOjanyaM#}
genuflexion,s.,{#AnatiH/jAnunatiH#}
genuine,a.,{#satyaH/prakftaH/vAstavaH/akalpitaH/akftrimaH/akapawaH/nizkapawaH/nirvyAjaH/nirvyalIkaH/yaTArTaH/sAraH#}
genuinely,adv.,{#satyaM/nizkapawaM/nirvyAjaM/nirvyalIkaM/yaTArTaM#}
genuineness,s.,{#satyatA/prakftatvaM/akftrimatA/akalpitatvaM/yATArTyaM/yaTArTatA/nirvyalIkatA/nirvyAjatvaM/vAstavikatA/sAratA#}
genus,s.,{#paraM/jAtiH/gaRaH/vargaH/jAtimAtraM/gotraM#}
geographer,s.,{#BUpfzWavidyAjYaH/BUgolavidyAjYaH/BUgolaSAstrajYaH/BUpfzWaleKakaH/BUgolajYAnI/tadAkAranAmAdileKakaH/BUpfzWavivaraRakft#}
geographical,a.,{#BUgolavizayaH/BUpfzWavizayakaH/BUgola/SAstravizayaH/BUpfzWasambanDI/BUgolaSAstrIyaH#}
geographically,adv.,{#BUgolaSAstrAnusAreRa/BUgolaSAstravat#}
geography,s.,{#BUpfzWavidyA/BUgolavidyA/BUpfzWasya deSasamu/vivaraRaM/BUgolaSAstraM#}
geological,a.,{#pArTivAMSavizayaH/pfTivIvidyAsambanDI/pfTivIsaMsTAnavizayakaH#}
geologist,s.,{#pArTivAMSavidyAjYaH/pfTivIvidyAjYaH/pfTivIsaMsTAnavyAKyAtA/mfttikABAvaguRAdivivaraRakft#}
geology,s.,{#vidyA/pfTi/vIvidyA/pfTivIsaMsTAnavidyA/mfttikA/saMsTAnavidyA/mfttikABAvaguRAdivivaraRavidyA#}
geometral,a.,{#kzEtraH/kzetraparimA/RavizayaH/kzetragataH/kzetravidyAnusArI/reKA/gaRitasambanDI/kzetragatopapattiH#}
geometrically,adv.,{#kzetravidyAnusAreRa/reKAgaRitaSAstravat#}
geometrician,s.,{#kzetravidyAjYaH/reKAgaRitavid/kzEtrajYaH/reKAgaRita/SAstradarSI/kzetrapariprARavidyAvAn#}
geometry,s.,{#kzEtraM/kzetraM/kzetravidyA/kzetraparimARavidyA/kzetraparimARavizayA/vidyA/reKAgaRitaM/reKAgaRitaSAstraM/reKAgaRanAvidyA;/kzetragatopapattiH#}
georgic,s.,{##}
geranium,s.,{##}
gerfalcon,s.,{#SyenaBedaH/kapotAriH/GAtipakzI/n#}
germ,s.,{#pallavaH/aNkuraH/aBinavodBid/jAlakaM/kzArakaH/jozikA/kundukaM;/mAQiH/vIjaM/yoniH/AdiH/AramBaH/garBaH/mUlaM#}
german,a.,{#sambanDI/samparkI/pitfvyaputraH/mAtulaputraH/jarmmaRideSasambanDI/jarmmaRideSajaH/jarmmaRideSaBAzA#}
germander,s.,{#ozaDigaRasaMjYA#}
germanism,s.,{##}
germinate,v. n.,{#sPuw/sPuwati/Pull/Pullati/aNkura/aNkurayati/vikas/udBid/(/prodBid/praruh/vfD/varDate#}
germinating,part.,{#udBijjaH/udBid/udBidaH/prarohI/aNkuritaH/PullavAn/prasPuwaH/sPuwan#}
germination,s.,{#sPuwanaM/sPuwatA/udBedaH/prodBedaH/prarohaH/udvarttanaM#}
gerund,s.,{##}
gestation,s.,{#garBaDAraRaM/garBapozaRaM/garBavahanaM/garBiRIBAvaH#}
gesticulate,v. n.,{#hastAdi/vikzip/saYcal/(/iNg/iNgati/naw/nAwayati#}
gesticulation,s.,{#aNgavikzepaH/hastAdivikzepaH/aNgahAraH/iNgitaM/iNgitakaraRaM/aNgasaYcAlanaM/hastAdisaYcAlanaM/saNketakaraRaM/SARI/sUcA/BAvakaraRaM/ANgikakarmma/n#}
gesticulator,s.,{#aNgavikzepakaH/hastAdivikzepakaH/aNgasaYcAlakaH/iNgita/kArI/saNketakArI/n#}
gesture,s.,{#iNgitaM/aNgavikzepaH/hastAdivikzepaH/saNketaH/aNgahAraH/cezwA/BAvaH/iNgaH/aBinayaH/aBinItiH/sUcanA#}
gesture,v. a.,{##}
get,v. a.,{#Ap/Aptoti/AptuM/prAz/azAp/samprAp/laBate/labDuM/upalaB/arj/arjati/rjituM/arjayati/upArj/Asad/samAsad/aDigam/gam/pratipad/Apad/aBipad/AviS/i/eti/aS/aSnute/aSituM/upAS/samaS/DA/daDAti/Datte/DAtuM/Df/(DArayati/Bf/biBartti/BarttuM/Ap/jan/janayati/Sikz/Sikzate/aDI/aDIte/aDyetuM/i/aDigam/anunI/protsah/nivarttayAmAsa/upArj/laB/AdA/grah/gfhlAti/grahItuM/upalaB/kxp/kalpayati/parikxp/sajjIkf/utpad/samAnI/saYci/samAdA/saNgrah/ekIkf/Aruh/aDiruh/atikram/tIr/tIrayati/pAr/pArayati/tF/tarati/nistF;/gacCati/gantuM/upaskf/saMskf/puraskf/virac/sajjIkf/fRagrastaH/fRavAn#}
get,v. n.,{#Agam/upagam/aBigam/prAp/avAp/AyA/upasTA/apagam/apayA/ape/apEti/i/apasf/apakram/cal/calati/prasTA/agre/pUrvve/prAp/muc/avaruh/avatF/gam/viS/viSati/vezwuM/praviS/niviS/AviS/palAy/palAyate/i/vipalAy/nistF/apakram/nirgam/avatF/avaruh/apagam/apasf/ape/utTA/utsTA/muc/pragam/pravft/prasf/prayA/pracal/mattaH/unmattIBU;/apasara/apEhi/apehi#}
getter,s.,{#prApakaH/avAptA/labDA/arjakaH/upArjakaH/aDigantA/lABakft/AdAtA/grAhakaH/janakaH/utpAdakaH#}
getting,s.,{#lABaH/labDiH/AptiH/prAptiH/prApaRaM/avAptiH/samprAptiH/arjanaM/upArjanaM/AsAdanaM/aDigamaH/AgamaH/grahaRaM#}
gewgaw,s.,{#krIqanakaM/kaNkaRaM/KelAdravyaM/kadarTadravyaM#}
ghastfully,adv.,{#piSAcavat/BUtavat/pretavat/dAruRaM/BayAnakaM/GoraM#}
ghastliness,s.,{#rUpadAruRyaM/vadanaGoratA/muKarOdratA/BUtasarUpatA/BOtatvaM/karAlatvaM/vikawatvaM#}
ghastly,a.,{#BUtasarUpaH/pretasarUpaH/BOtikaH/pESAcikaH/SavasavarRaH/pretasavarRaH/GorarUpaH/GorAkftiH/dAruRaH/BayAnakaH/rOdraH/BImadarSanaH/ugrampaSyaH/karAlamuKaH#}
ghaut,s.,{#GawwaH/sajjanaM/gulmaH/malayaH/malayAcalaH/malayaparvvataH/malayAdriH/dakziRAcalaH/dakziRaparvvataH#}
ghee,s.,{#GftaM/havis/sarpis/havyaM/havanIyaM/havizyaM/AjyaM/tanUnapaM/tfpraH#}
ghost,s.,{#AtmA/antarAtmA/n/pretaH/pretanaraH/paretaH/nArakaH/narakavAsI/narakAmayaH/vetAlaH/rAtriYcaraH/niSAcaraH/niSAwaH/BUtaH/SmaSAna/vAsI/rAkzasaH;/(#}
ghostlike,s.,{#pretasarUpaH/BUtasarUpaH#}
ghostliness,s.,{#pretatvaM/BUtatvaM/paretatvaM/AtmatA/pAramArTikatvaM#}
ghostly,a.,{#AtmikaH/AtmavizayaH/pAra/mArTikaH/aSArIrikaH/pAratrikaH/BOtikaH/pretasambanDI#}
giant,s.,{#vfhatkAyaH/vfhacCarIraH/vikawaSarIraH/BImavigrahaH/prakARqaSarIraH/aKarvaH/dEtyaH/asuraH/rAkzasaH/dAnavaH/dEteyaH/rakzas/indrAriH/suradvid/ditisutaH/danujaH/yAtu/yAtuDAnaH/pUrvvadevaH/SukraSizyaH/kORapaH/nErftaH/nikapAtmajaH/kravyAd/niSAcaraH#}
giantess,s.,{#vfhatkAyA/vfhacCarIrA/rAkzasI#}
giant-like,a.,{#vfhatkAyaH/vfhacCarIraH#}
gibber,v. n.,{#jalp/jalpati/vadati#}
gibberish,s.,{#anarTakavAkyaM/asambadDavAkyaM/vfTAkaTA/mfzArTakavacanaM/jalpitaM;/anibadDapralApI/n#}
gibbet,s.,{#udbanDanakAzWaM/udbanDanavfkzaH/baDasTAnaM/DAtasTAnaM#}
gibbet,v. a.,{##}
gibbosity,s.,{#kubjatA/nyubjatA/kUrmmapfzWAkAratvaM/vimbAkAratA/ABogaH/KaRqamaRqalatvaM#}
gibbous,a.,{#nyubjaH/vimbAkAraH/kUrmmapfzWAkAraH/gaRqAkAraH/ABogI/KaRqamaRqalaH/kubjaH/gaquraH#}
gibbousness,s.,{#nyubjatA/kUrmmapfzWAkAratA/sABogatA#}
gib-cat,s.,{#jIrRamArjAraH#}
gibe,v. a.,{#kzip/kzipati/kzeptuM/avakzip/parikzip/avahas/avajYA/tiraskf/muKarIkf#}
gibe,s.,{#kzepaH/avakzepaH/tiraskAraH/avahAsaH/durvAkyaM/duruktaM/kawuvAkyaM#}
giber,s.,{#kzepakaH/avakzepakaH/durmuKaH/muKaraH/durvaktA#}
giblets,,{#haMsAder yat pAdamastakayakfdAdi prAkSflAropaRAd avaCi/haMsaKaRqakAH#}
giddily,adv.,{#BrAmararogagrastavat/saBrAmaraM/capalaM/manolOlyAt#}
giddiness,s.,{#BramaraM/BrAmaraM/BramiH/BramaH/viBramaH/viBrAntiH/GUrRiH/GUrRanaM/cakzurAdicApalyaM/cakzurAdiviBrAntiH/pramAdaH/capalatA/cApalyaM/caYcalatvaM/cAYcalyaM/calacittatA/asTiratA/asTEryyaM/lolatA/anavasTitiH/aDIratvaM/lOlyaM/manolOlyaM/viBrAntiH/viBrAntaSIlatA/taralatA/pramattatA#}
giddy,a.,{#BrAmarI/BramI/GUrRarogI/BrAmararogI/viBrAntaH/BramakaraH/capalaH/caYcalaH/viBrAntaSIlaH/asTiraH/anavasTaH/anavasTitaH/aDIraH/capalabudDiH/capalAtmakaH/calacittaH/lolaH/lolamanAH/pramattaH/pramAdI/udDataH/mattaH/ESvaryyamattaH#}
gift,s.,{#dAnaM/pradAnaM/dattaM/pradeyaM/sampradAnaM/dAyaH/upahAraH/upAyanaM/vitaraRaM/tyAgaH/utsarjjanaM/visargaH/visarjjanaM/viSrARanaM/aMhatiH/upagrAhyaM/upaQOkanaM/upadA/pradA/dAdaH/dA/daM/vihApitaM/pratipAdanaM/nirvapaRaM/sparSanaM/prAdeSanaM/pradeSanaM/apavarjjanaM/upacAraH/prItidAnaM/prABftaM;/sadAyaH/sudAyaH/haraRaM;/yOtakaM;/pravAraRaM/prahAraRaM;/pitfdAnaM/guRaH/SaktiH#}
gifted,p. p. | a.,{#sampannaH/upapannaH/yuktaH/saMyuktaH/upetaH/anvitaH/SIlitaH/guRI/guRavAn/izwaguRasampannaH/sadguRopetaH#}
gig,s.,{#BramaraM/BramarakrIqanakaM/laGuraTaH/upanOkA/laGunOkA/kzudranOkA#}
gigantic,a.,{#vfhatkAyaH/vfhacCarIraH/BImavigrahaH/atikAyaH/vikawaSarIraH/atimahAn/ativfhan/rAkzasaparimARaH/dEtyaparimARaH#}
giggle,s.,{#asambadDaparihAsaH/anarTakahAsaH/kuhasitaM/mUrKahasitaM#}
gigglf,v. n.,{#mUrKavat/asambadDaM/hasati/kakk/kakkati/kaK/kaKati#}
giggler,s.,{#asambadDaparihAsaSIlaH/nirarTakahAsakArI/n#}
gild,v. a.,{#suvarRa/suvarRayati/svarRapatrapinadDaM/suvarRopetaM/raYj/raYjayati/dyut/dyotayati/virAj/prakAS#}
gilded,p. p.,{#suvarRitaH/rasitaH/svarRapatrapinadDaH/svarRamaRqitaH/svarRapatrasaMvItaH/rAjatAnvitaH/raYjitaH/rAjitaH/pradyotitaH#}
gilder,s.,{#svarRapatrapinadDakArI/n#}
gilding,s.,{#svarRaraYjanaM/suGarRIkaraRaM/svarRamaRqanaM;/patraraYjanaM#}
gill,s.,{#SiroranDradvayaM/aDogaRqamAMsaM/aDogaRqaH/aDaHkapolaH/civukamAMsaM#}
gilly-flower,s.,{#ozaDigaRasaMjYA#}
gilt,p. p. | a.,{#suvarRitaH/rasitaH/rAjatAnvitaH#}
gilt,s.,{#suvarRaraYjanaM/svarRapatraM;/vimalaM#}
gilt-head,s.,{#gaqakaH/SakulagaRqaH/SakulArBakaH/SAlaH/kumBilaH#}
gimcrack,s.,{#nirarTakayantraM/krIqAyantraM/krIqAdravyaM/krIqanakaM#}
gimlet,s.,{#veDanikA/AsPowanI/lAsPowanI/AviDaH#}
gimp,s.,{##}
gin,s.,{#SuRqA/surA/vAruRI/SIDuH/madirA/hAlA/AsavaM;/surApaH/SuRqApAyI/surApAnaM;/SuRqApAnaM/pAnagozWikA/pASaH/unmATaH/jAlaM/kUwayantraM/vAgurA/pASabanDaM#}
ginger,s.,{#ArdrakaM/SfNgaveraM/aNgaloqyaH/gulmamUlaM/apAkaSAkaM;/SuzkArdraM/SuRWiH/viSvaBezajaM/viSvaM/mahOzaDaM/nAgaraM#}
ginger-beer,s.,{#ArdrakapAnaM/ArdrakarasaH/ArdrakapAnIyaM/ArdrakasurA#}
ginger-bread,s.,{#ArdrakapizwakaH/ArdrakapUpaH#}
ginger-wine,s.,{#ArdrakamadyaM/ArdrakamadirA/ArdrakasurA#}
gingerly,adv.,{#sAvaDAnaM/avaDAnena/asahasA#}
gingham,s.,{#tUlAvastraM#}
gingival,a.,{#dantamAMsasambanDI/dantaSirAsambanDI#}
gingle,v. n.,{#SiYj/SiMkte/SiYjate/viSiYj/kvaR/kvaRati/kiNkiRa/kiNkiRAyate#}
gingle,s.,{#SiYjaH/SiYjitaM/ASiYjitaM/kvaRitaM/kiNkiRiSabdaH/JaYJanaM/JanatkAraH#}
gingling,part.,{#kvaRan/SiYjI#}
ginnet,s.,{#aSvakaH#}
gipsy,s.,{#avanicaraH/DUrttaH/kAkacaritraH#}
giraffe,s.,{##}
gird,v. a.,{#banD/baDnAti/banDuM/paribanD/AbanD/pinah/avanah/sannah/pinadDaM/Akac/parivezw/pariDA/parivf#}
gird,v. n.,{#kzip/kzipati/kzeptuM/avakzip/avahas#}
gird,s.,{#AkarzaH/SUlaM/apatAnakaH/apatantrakaH/AkzepakaH/vetrAGAtaH#}
girded,p. p.,{#badDaH/pinadDaH/AnadDaH/avanadDaH/AbadDaH/parivezwitaH/parihitaH#}
girder,s.,{#agrakAzWaM/mahAdAruH#}
girdle,s.,{#meKalA/rasanA/kawisUtraM/kawibanDanaM/kAYcI/kalApaH/kakzA/kakzyA/parikaraH/sArasaM/vasnanaM/saptakI/SakkarI/raSanA/SfNKalA/vezwanaM/parivezwanaM/AvezwanaM/maRqalaM/valayaH/cakravAlaM/rASicakraM#}
girdle,v. a.,{#baDnAti/banDuM/vezw/vezwate/vezwayati/parivezw/parivf#}
girdler,s.,{#meKalAkAraH/rasanAkarttA/kawisUtrakArI/n#}
girl,s.,{#kanyA/kumArI/taruRI/bAlA/bAlikA/putrI/dArikA/anAga/tArttavA/lagnikA/nagnikA/gOrI/vAsUH#}
girlhood,s.,{#kanyAtvaM/kumArItvaM/taruRItvaM/kOmAryyaM/tAruRyaM#}
girlish,a.,{#kanyAyogyaH/kumArIyogyaH#}
girlishly,adv.,{#kanyAvat/kumArIvat/taruRIvat/kanyArUpeRa#}
girt,p. p.,{#badDaH/pinadDaH/vezwitaH/parivezwitaH/badDanistriMSaH/samudrameKalaH#}
girth,s.,{#udaratrARaM/aDobanDanaM/varatrA/vardDraM/vardDrI/nadDrI/cUzA/kakzA/kakzyA#}
girth,v. a.,{#baDnAti/banDuM#}
gist,s.,{#arTaH/muKyArTaH/paravArTaH/uttamArTaH/agravizayaH#}
give,v. a.,{#dA/dadAti/datte/dAtuM/pradA/prAdA/aBidA/sampradA/nidA/anudA/sandA/yam/yacCati/dAtuM/prayam/saMyam/pratiyam/samprayam/dad/dadate/pratipad/upapad/f/(arpayati/samf/nikzip/vitF/viSraR/tyaj/tyajati/tyaktuM/visfj/grah/(grAha/yati/Ahf/harati/upahf/saNkfm/(/yati/diS/diSati/dezwuM/pradA/prayam/pratidA/pratipad/pratyarp/f/prati/niryat/pratiniryat/pratiruh/(/anuDAv/DAvati/anusf/prakAS/KyA/(KyApayati/nivid/anudA/anujYA/tyaj/tyaj/utsfj/viram/nivft/asATya/muYcati/moktuM/nivid/prakAS/viGuz/utsfj/muc/niHsf/(/tyaj/parityaj/santyaj;/hA/jahAti/hAtuM/vimuc/uYJ/uYJati/proYJ/pratyAdiS/AsaYj/sev/sevate/Asev/AsaktaH/nirataH/apakram/avasTA/parAvft/nivft/tyaj/avasf/avasarata/dA/pradA/upAdiS;/vadati/kuSalaM/vad/niyuj/udIr/uccara/udAhf/De/(DApayati/upaDe/pA/(pAyayati/ruz/(rozayati#}
give,v. n.,{#sada/sIdati/sattuM/avasad/Sam/SAmyati/SamituM/praSam/SAntiM/yAti/SAntIBU/SiTilIBU/apasf/nivft/apayA/viram/nivft/Sam/anujYA/anuman#}
given,p. p.,{#dattaH/pradattaH/prattaH/nIttaH/nihitaH/nikziptaH/pratipAditaH/upapAditaH/viSrARitaH/arpitaH/samarpitaH/vitIrRaH/visarjjitaH/visfzwaH/upanyastaH/sUttaH/dattAdattaH/dattApahftaH/tyaktaH/parityaktaH/utsfzwaH/AsaktaH/rataH/nirataH/dfSyaH#}
giver,s.,{#dAtA/pradAtA/dAyakaH/dAyI/dAnakarttA/dAkaH/dAdI/pradaH/daH/tyAgI/dAtfgAhakO/dAtfpratIcCakO#}
giving,s.,{#dAnaM/pradAnaM/sampradAnaM/tyAgaH/vitaraRaM/visarjjanaM#}
gizzard,s.,{#udaraM/antarjaWaraM/pakvASayaH#}
glacial,a.,{#himyaH/hEmaH/himarUpaH#}
glaciate,v. n.,{#himIBU/SItIBU#}
glaciation,s.,{#SItIkaraRaM/SItIBAvaH/himIkaraRaM/himasaMhatiH#}
glacier,s.,{##}
glacis,s.,{#nimnaBUmiH#}
glad,a.,{#hfzwaH/prahfzwaH/hfzwahfdayaH/hfzwamAnasaH/harzayuktaH/AnandI/AnanditaH/sAnandaH/prItaH/AhlAditaH/prahlAditaH/prahlannaH/tuzwaH/parituzwaH/tfptaH/prasAditaH/praPullaH/ullasaH/aBirucitaH/mattaH/harzakaH/nandakaH/modakaH/AnandakaraH/harzakaraH/suBagaH/ramaRIyaH#}
glad,v. a.,{#hfz/harzayati/prahfz/parihfz/nand/nandayati/aBinand/hlAd/hlAdayati/AhlAd/prahlAd/ram/ramayati/ullas/tup/tozayati/tfp/tarpayati/pramud/prI/prIRAti/prIRayati#}
gladdened,p. p.,{#AhlAditaH/AnanditaH/pramoditaH#}
gladdening,a.,{#harzakaH/harzaRaH/harzakaraH/nandakaH/AnandanaH/AnandadaH/prItidaH#}
gladder,s.,{#AnandakArI/AnandakaH/suKadaH#}
glade,s.,{#jaNgalamaDye/vanapaTaH/vanamArgaH#}
gladiate,a.,{#KaNgAkAraH/asyAkAraH/KaNgAkftiH#}
gladiator,s.,{#JallaH/mallaH/AsikaH/asikrIqakaH/KaqgakrIqakaH/astrakrIqakaH/nEstriMSikaH#}
gladiatorial,a.,{#JallasambanDI/asikrIqAsambanDI/AsikaH#}
gladiature,s.,{#asiyudDaM/KaNgayudDaM/asikrIqA/KaNgakrIqA#}
gladly,adv.,{#sAnandaM/saharzaM/harzeRa/hfzwamanasA/hfzwavat/sAhlAdaM/AhlAdena/prahlAdena/pramodena/santozeRa#}
gladness,s.,{#harzaH/AnandaH/AhlAdaH/prahlAdaH/pramodaH/AmodaH/hfzwiH/mudA/hfzwatA/prahfzwatA/praPullatA/ullAsaH/ullasatvaM/cittaprasannatA/prItiH/prItatA/tuzwiH/santuzwiH/modaH/utsavaH#}
gladsome,a.,{#AnandI/ramyaH/suBagaH#}
glair,s.,{#aRqaSuklaM/aRqapayas#}
glance,s.,{#dfzwipAtaH/dfzwinipAtaH/nayanapAtaH/dfzwivikzepaH/kawAkzaH/netrakawAkzaH/apANgadfzwiH/apANgadarSanaM/vIkzitaM/prekzitaM/avalokanaM/kAkzaH/dfzwivARaH/IzaddarSanaM/IzadvfzwiH/ardDavIkzaRaM/ardDadfzwiH/pratisamIkzaRaM/sPuritaM/sPuraRaM/dyutipAtaH/raSmiH#}
glance,v. n.,{#sPur/sPurati/parisPur/las/lasati/atI/atyeti/i/Garzati/pAtayati/vikzip/kawAkza/kawAkzayati/paSyati/drazwuM/nirIkz#}
glancing,part.,{#sPuran/lasan/sPuritaH#}
glancingly,adv.,{#laGu/Izat/alpamAtraM/sArdDadarSanaM/lAGavena/tiryyak/tiras/vakragatyA#}
gland,s.,{#mAMsagranTiH#}
glanders,s.,{##}
glandule,s.,{##}
glandulous,a.,{#pUrvvoktamAMsapiRqasambanDI#}
glans,s.,{#maRiH#}
glare,s.,{#tejas/atitejas/atidyutiH/dyutiH/atipraBA/BAH/hetiH/ujjvaladyutiH/praKaradIptiH/KaradIptiH/ugradfzwiH/tIkzRadfzwiH#}
glare,v. n.,{#dyotate/ujjval/jval/dIp/upahan/sPur/sPurati/tIkzRadfzwiM/ropapra/dIptAkzaH#}
glareous,a.,{#aRqaSuklasaguRaH/aRqaSuklaDarmmA#}
glaring,part. | a.,{#atitEjasaH/ujjvalaH/atidyotI/atitejasA dfzwisantApakaH/nayanopaGAtI/BAsvAn/kArSAnavaH/sarvvaprakASaH/suprakASaH/puraHsPuran/ropadI/ptAkzaH#}
glaringly,adv.,{#suprakASaM/sarvvaprakASaM/sarvvaprasidDaM/atitejasA#}
glass,s.,{#kAcaH/kzAraH/sikzyaM/aBraM/sPawikaH/kAcaBAjanaM/kAcapAtraM/kAcakUpI/paliGaH/pulakaH/pArI;/kAcaGawI/darpaRaH/mukuraH/AdarSaH#}
glass,a.,{#kAcamayaH/kAcanirmmitaH/kAca#}
glass,,{##}
glass-blower,s.,{#kAcaDamakaH/kzAraDamakaH/kAcaDmAkAraH/kAcanirmmARakft#}
glassful,s.,{#kAcapAtrapfraRaM/kAcaBARqaBararkaH/kAcaBARqapUrakaH#}
glass-grinder,s.,{#kAcaparizkArakaH/kAcamArjjakaH/kAcatejaskArI/n#}
glass-house,s.,{#kAcanirmmARaSAlA/kzAranirmmARagfhaM/kAcaSAlA#}
glassiness,s.,{#svacCatA/prasannatA/prasattiH/vimalatA/SlakzRatA#}
glass-like,a.,{#kAcopamaH/kAcasaguRaH#}
glass-man,s.,{#kAcavikretA/kAcadravyavikrayI/kAcavyava/sAyI/n#}
glass-work,s.,{#kAcanirmmARaM/kAcanirmmARaSilpaM/kAcakarmma/n#}
glassy,a.,{#kAcopamaH/kAcavatprasannaH/kAcavadvimalaH/svacCaH/sPawikapraBaH/SlakzRaH#}
glaucous,a.,{#samudravarRaH/SyAmaharit/GananIlaH#}
glave,s.,{#kfpARaH/nistriMSaH/asiH#}
glaze,v. a.,{#kAca/kAcayati/kAcAnvitaM/kAcopetaM/SlakzRa/SlakzRayati/snigDIkf/SlakzRIkf#}
glazed,p. p.,{#kAcitaH/kAcAnvitaH/kAcACAditaH#}
glazier,s.,{#kAcavyavasAyI/kAcabanDakaH/kAcabanDA#}
glazing,s.,{#kAcabanDanaM/kAcACAdanaM/kAcakarmma/n#}
gleam,s.,{#dyutisPuraRaM/sPuritaM/akasmA/tsPuraRaM/praBAsPuraRaM/kzaRapraBA/kzaRadyutiH/kzaRajyotis/acirapraBA/aciradyutiH/akasmAddIptiH/dyutijvAlA/raSmiH/kfiraRaH/aMSuH/ujjvalatA/praBA/tejas#}
gleam,v. n.,{#sPur/sPurati/prasPur/parisPur/las/lasati/vidyut/akasmAt/jval/jvalati/ujjval#}
