English Term,POS Tags,Sanskrit Terms
abuse,s.,{#pAruzyaM/aBivAdaH/tiraskAraH/pariBAzaRaM/AkroSaH/vikroSanaM/apakroSaH/nindA/mOKaryyaM/upAlamBaH/jugupsA/vAkpAruzyaM/vAgdozaH/svaloktiH/nirBartsanaM/durAlApaH/durvvacaH/paruzavacanaM/paruzoktiH/kuprayogaH/kuvyavahAraH/durvyavahAraH/kadarTIkaraRaM#}
abused,p. p.,{#ku prayuktaH/AkziptaH/AkruzwaH#}
abusive,a.,{#nindakaH/paruzaH/muKaraH/AkroSakaH/durvvAdaH/kutsAvAdI/vAgduzwaH#}
abyss,s.,{#agADadarI/agADaranDraM/atalasparSaKAtaM/gamBIraranDraM/narakaH#}
academy,s.,{#pAWaSAlA/vidyAlayaH/vidyAByAsasTAnaM#}
accede,v. n.,{#mil/milati/melituM/sami/saNgam/anujYA/anuman#}
accelerate,v. a.,{#tvar/(tvarayati/santvar/pravft#}
accent,s.,{#svaraH/uccAraRaM/uccAraRacihnaM/svaracihnaM/udAttaH#}
accent,v. a.,{#sUtrAnusArataH#}
accented,p. p.,{#svaritaH/udAttaH#}
accentuate,v. a.,{#dadAti/dAtuM#}
accept,v. a.,{#grah/gfhlAti/gfhlIte/grahItuM/pratIz/svIkf#}
acceptable,a.,{#gfhyaH/grahaRIyaH/AdeyaH/upAdeyaH/samAdeyaH/ramaRIyaH/manoramaH/priyaH#}
acceptableness,s.,{#grAhyatvaM/ramaRIyatvaM/priyatA#}
acceptance,s.,{#pratigrahaH/parigrahaH/AdAnaM/svIkaraRaM/DanAdAnaM#}
acceptation,s.,{#arTaH/aBiprAyaH/ASayaH#}
accepted,p. p.,{#gfhItaH/AdattaH#}
access,s.,{#AgamaH/aBigamaH/upagamaH/vfdDiH/upacayaH#}
accessary,a.,{#sahakArI/pApasahAyaH#}
accessible,a.,{#aBigamyaH/gamyaH/sugamaH/sulaBaH/suKopasarpyaH#}
accession,s.,{#AgamaH/vfdDiH/upacayaH/DanAgamaH/upagamaH/aBigamanaM/milanaM/upasTitiH/rAjyaprAptiH#}
accessory,a.,{#aDikaH/sahitaH/sammilitaH/saMyuktaH#}
accidence,s.,{#vyAkaraRAramBaH/vyAkaraRasya/AdiprakaraRagranTaH#}
accident,s.,{#saNgatiH/dEvayogaH/dEvagatiH/dEvAt/dEvaGawanaM/ativarttanaM/aByudayaH/Apada/vipada/aprakftiH/akasmAt/dEvAt/dEvena/dEvagatyA#}
accidental,a.,{#dEvAyattaH/ApatikaH/sANgatikaH/AkasmikaH/aprakftaH/asamavAyI#}
accidentally,adv.,{#dEvAt/akasmAt/saNgatyA/dEvayogena#}
acclamation,s.,{#praRAdaH/DanyavAdaH/jayaSabdaH/praSaMsASabdaH/sammatipraRAdaH/sAMrAviRaM#}
acclivity,s.,{#utsaNgaH#}
accommodate,v. a.,{#yuj/sanDA/samADA/sanDA/samAp/yuj/samAyuj#}
accommodation,s.,{#sopakAradravyopaka/lpanaM/upakaraRaM/pratyupakAraH/saMyojanaM/sanDAnaM#}
accompanied,p. p.,{#sahitaH/saMvftaH/sahAyavAn/parivAritaH/sametaH/dvitIya/sahAya/umAsahAyaH/sa/sasacivaH#}
accompany,v. a.,{#anuyA/samanuyA/anvi/parivf/(/sahAyIBU/yuj/yunakti/yoktuM/yojayati/saMyuj#}
accomplice,s.,{#pApasahAyaH/pApasammitaH/kusahAyaH/sahakArI/n/anupaNgI/n#}
accomplish,v. a.,{#siD/sAD/(sADayati/samAp/(/sampad/(/samAcar/nirvft/(/samAsTA/tizWati/anuzWA/AsTA/kf/karoti/karttuM/saNkf#}
accomplishable,,{#sADyaH/sADanIyaH/sampAdanIyaH#}
