Entry No,Word Info,Definition,Transliteration
189,"Afoot,",{%adv.%},padByAm;
190,"Afore,",{%adv.%},"agre, puraH, saMmuKaM"
191,"Afraid,",{%a.%},"BIta, BayAnvita, SaMkAnvita;"
192,"Afresh,",{%adv.%},"punarapi, aBinavaM"
193,"After,",{%prep.%},anu
194,"Again,",{%adv.%},"punaH, BUyaH;"
195,"Against,",{%prep.%},prati-ABi
196,"Agape,",{%a.%},jfMBamARa;
197,"Agastric,",{%a.%},jaWaraSUnya
198,"Age,",{%s.%},"yugaM, kAlaH, samayaH"
199,"Agenda,",{%s.%},kAryakramapatraM
200,"Agent,",{%s.%},"pratihastaH, pratiniDiH"
201,"Agglomerate,",{%v. t.%},saMci
202,"Agglutinate,",{%v. t.%},saMyuj
203,"Aggrandize,",{%v. t.%},vi-saM-pra-vfD
204,"Aggravate,",{%v. t.%},vfD
205,"Aggregate,",{%s.%},"saMgrahaH, samAhAraH, rASiH, sa"
206,"Aggress,",{%v. i.%} (,praTamaM
207,"Aggrieve,",{%v. t.%},ard
208,"Aghast,",{%a.%},"sasADvasa, BayABiBUta"
209,"Agile,",{%a.%},"laGu, capala, laGuSarIra"
210,"Agitate,",{%v. t.%},saM-vi-pra-kzuB
211,"Aglow,",{%a.%},agnitapta
212,"Agnate,",{%a.%},"saMbaMDin, saMbadDa"
213,"Agnostic,",{%s.%},anISvara-nirISvara-vAdin
214,"Ago,",{%adv.%},"pUrvaM, prAk,"
215,"Agony,",{%s.%},"vyaTA, yAtanA, vedanA, saMtApaH;"
216,"Agrarian,",{%a.%},"BUmivizayaka, kzetrasaMbaMDin"
217,"Agree,",{%v. i.%},saMman
218,"Agrestic,",{%a.%},"asaBya, grAmya, kzetrika"
219,"Agriculture,",{%s.%},kfzi
220,"Agronomial,",{%a.%},"kzetrakarmavizayaka, kfzikarma-"
221,"Aground,",{%adv.%},tawasTa
222,"Ague,",{%s.%},"kaMpa-SIta-jvaraH, vizamaH;"
223,"Aguerried,",{%a.%},"yudDaparicita, yudDAByasta"
224,"Ah,",{%interj.%},"AH, haMta, hA, aho, ahaha"
225,"Ahead,",{%adv.%},"agre, purataH, puraH"
226,"Aheap,",{%adv.%},saMkalitaM
227,"Aid,",{%v. t.%},upakf
228,"All,",{%v. t.%},pIq
229,"Aim,",{%v. t.%},lakzIkf
230,"Air,",{%s.%},vyoman
231,"Ait,",{%s.%},"pulinaM, antarIpaM"
232,"Ajar,",{%adv.%},arDavivfta
233,"Akin,",{%a.%},"sagotra, sanABi, sajAtIya"
234,"Alack,",{%See%} {@Alas.@},
235,"Alacrity,",{%s.%},"OtsukyaM, utsAhaH"
236,"Alar,",{%a.%},sapakza
237,"Alarm,",{%s.%},"trAsaH, SaMkA, BayaM, sADvasaM"
238,"Alas,",{%interj.%},"kazwaM, hA, haMta, hA Dik, ahaha,"
239,"Alate,",{%a. See%} ‘Alar’.,
240,"Albeit,",{%adv.%},yadyapi
241,"Albescent,",{%a.%},"IzatSveta, SvetaprAya"
242,"Albugineous,",{%a.%},aMqaSuklAMSopama
243,"Albugo,",{%s.%},SuklaM; cakzUrogaH
244,"Albumen,",{%s.%},aMqaSuklAMSaH
245,"Alchemy,",{%s.%},"rasavidyA, rasasidDi"
246,"Alcohol,",{%s.%},madyasAraH
247,"Alcoran,",{%s.%},mahaMmadIya DarmagraMTaH
248,"Alcove,",{%s.%},"kuMjaH, parRaSAlA, niBftasTAnaM"
249,"Alderman,",{%s.%},purADyakzaH; vfdDa-guru-janaH
250,"Ale,",{%s.%},"yavasurA-raM, madyaM;"
251,"Aleatory,",{%a.%},yadfcCADIna
252,"Alert,",{%a.%},"jAgarUka, dakza, sAvaDAna, avahita,"
253,"Alias,",{%adv.%},anyaTA
254,"Alibi,",{%s.%},anyasTAnavartitvaM
255,"Algebra,",{%s.%},bIjagaRitaM
256,"Alien,",{%a.%},"videSIya, anyadeSIya"
257,"Alight,",{%v. i.%},avatF
258,"Alight,",{%a.%},pradIpta
259,"Alike,",{%a.%},sadfSa
260,"Aliment,",{%s.%},"AhAraH, BojanaM"
261,"Alive,",{%a.%},jIvat
262,"Alkali,",{%s.%},"kzAraH, sarjikA,"
263,"All,",{%s.%},"sarvaM, aKilaM, sAkalyaM"
264,"Allay,",{%v. t.%},pra-upa-Sam
265,"Allege,",{%v. t.%},pratijYA
266,"Allegiance,",{%s.%},"nizWA, Bakti"
267,"Allegory,",{%s.%},"rUpakaM, dfzwAMtaH"
268,"Alleviate,",{%v. t.%},upa-pra-Sam
269,"Alley,",{%s%},"udyAnapaTaH, vITi-TI"
270,"Alligate,",{%v. t.%},saM-anu-baMD
271,"Alligator,",{%s.%},"nakraH, grAhaH"
272,"Alliteration,",{%s.%},anuprAsaH
273,"Allocate,",{%v. t.%},sTAnaM dA
274,"Allot,",{%v. t.%},parikxp
275,"Allow,",{%v. t.%},anujYA
276,"Alloy,",{%s.%},"miSraRaM, dozaH, nyUnatA"
277,"Allude,",{%v. t.%},uddiSya-aDikftya vad
278,"Allure,",{%v. t.%},hf
279,"Alluvium,",{%s.%},"pulinaM, nadIrayasamAhftA mfttikA"
280,"Ally,",{%s.%},"mitraM, sahAyaH, pakzyaH, sahakArin"
281,"Almanac,",{%s.%},"paMjikA, paMcAMgaM"
282,"Almighty,",{%a.%},"sarvaSaktimat, amitOjas; sarva-"
283,"Almond,",{%s.%},vAtAmaPalaM
284,"Almonry,",{%s.%},"BikzAdAnagfhaM, BEkzyaSAlA"
285,"Almost,",{%adv.%},"prAya, BUyizWa, kalpa,"
286,"Alms,",{%s.%},"Bakzya, BikzA, BikzAdAnaM;"
287,"Aloe,",{%s.%},sahA; kumArIrasodBavo bolaH
288,"Aloft,",{%adv.%},"UrDvaM, upari;"
289,"Alone,",{%a.%},"eka, advitIya, ekAkin"
290,"Along,",{%prep.%},anu
291,"Aloof,",{%adv.%},"dUre, aMtare, pfTak;"
292,"Alopecia,",{%s.%},"akeSatA, keSahInatvaM"
293,"Aloud,",{%adv.%},"uccEH, ucca-tAra-svareRa"
294,"Alphabet,",{%s.%},varRamAlA
295,"Already,",{%adv.%},"pUrvaM, purA, prAk,"
296,"Also,",{%adv.%},"api, ca"
297,"Altar,",{%s.%},vedi-dI
298,"Altar,",{%v. t.%},anyaTA kf
299,"Altercate,",{%v. i.%},vivad
300,"Alter-ego,",{%s.%},"liMgadehaH, sUkzmaSarIraM"
301,"Alternate,",{%a.%} Ex. by,paryAya
302,"Although,",{%conj.%},"yadyapi, api"
303,"Altimeter,",{%s.%},uccatvamApakaM yaMtraM
304,"Altitude,",{%s.%},"uccatvaM, ucCrAyaH, utseDaH"
305,"Altogether,",{%adv.%},"sarvaTA, sarvataH, aSezataH,"
306,"Alum,",{%s.%},"sPawI, tuvarI, sOrAzwrI, sPAwikI"
307,"Alveary,",{%s.%},maDukozaH;
308,"Always,",{%adv.%},"sadA, sarvadA, aniSaM, satataM,"
309,"Amain,",{%adv.%},"prasaBaM, prasahya, balAt, savegaM,"
310,"Amalgam,",{%s.%},"kAMsyaM, miSraDAtuH, pAradasaMsfzwa-"
311,"Amanuensis,",{%s.%},"leKakaH, lipikAraH"
312,"Amaranth,",{%s.%},amlAnapuzpaM
313,"Amass,",{%v. t.%},saMci
314,"Amatory,",{%a.%},"kAmin, premaSIla, SfMgArapriya"
315,"Amaze,",{%v. t.%},vismi
316,"Ambages,",{%s.%},vakrokti
317,"Ambassador,",{%s.%},"dUtaH, rAjadUtaH, praRiDiH, saM-"
318,"Amber,",{%s.%},tfRamaRiH
319,"Ambidextrous,",{%a.%},uBayahastakuSala
320,"Ambient,",{%a.%},"vyApaka; nipAtin, gAmin"
321,"Ambiguous,",{%a.%},"dvyarTa, saMdigDArTa, avyakta,"
322,"Ambit,",{%s.%},"maMqalaM, cakravAlaM, vartulaM"
323,"Ambition,",{%s.%},"spfhA, AkAMkzA"
324,"Amble,",{%v. i.%},lalitaM valg
325,"Ambrosia,",{%s.%},"amftaM, suDA, pIyUzaM"
326,"Ambulate,",{%v. i.%},vicar
327,"Ambush, Ambuscade,",{%s.%} (,parAvaskaMdanArTaM
328,"Ameliorate,",{%v. t.%},vfD
329,"Amen,",{%adv.%},"om, Bavatu, evamastu, taTAstu"
330,"Amenable,",{%a.%},"parAnuyogADIna, anuviDAyin,"
331,"Amend,",{%v. t.%},saM-vi-pari-SuD
332,"Amenity,",{%s.%},"ramyatA, manojYatA"
333,"Amerce,",{%v. t. See%} {@Punish.@},
334,"Amiable,",{%a.%},"suSIla, supriya, sujana"
335,"Amicable,",{%a.%},mEtra
336,"Amid,-st,",{%prep.%},"maDye, aMtare, aByaMtare,"
337,"Amiss,",{%a.%},"dozin, aparADin"
338,"Amity,",{%s.%},"mEtrI, snehaBAvaH, saKyaM, saMDiH"
339,"Ammunition,",{%s.%},"yudDasAmagrI, yudDopakaraRAni"
340,"Amnesia,",{%s.%},smfti-BraMSaH-nASaH
341,"Amnesty,",{%s.%} (,rAjakftA
342,"Among,-st,",{%prep.%},"maDye, aByaMtare,"
343,"Amoretto,","{%s.%} Lover, {%q, v.%}",
344,"Amorous,",{%a.%},"kAmuka, premaSIla, rasika, SfMgAra-"
345,"Amount,",{%v. i.%},upaci-saMKyA
346,"Amphibious,",{%a.%},sTalajalacara
347,"Amphibiology,",{%s.%},"saMdigDavacanaM, SlezaH"
348,"Amphitheatre,",{%s.%},"raMgaH, raMgaBUmi"
349,"Ample,",{%a.%},"viSAla, vipula, bfhat, vistIrRa,"
350,"Amputate,",{%v. t.%},aMgaM Cid
351,"Amulet,",{%s.%},rakzAkaraMqaH
352,"Amuse,",{%v. t.%},vinud
353,"Anachronism,",{%s.%},kAlagaRanAyAM pramAdaH
354,"Anæsthetic,",{%a.%},saMvedanAnASaka
355,"Anagogy,",{%s.%},gUQArTaH
356,"Anagraph,",{%s.%},varRanaM
357,"Analogy,",{%s.%},"sAdfSyaM, samAnatA, saMbaMDaH"
358,"Analphabete,",{%s.%},"nirakzara, anakzara"
359,"Analyze,",{%v. t.%},vyAkf
360,"Anaphrodisiac,",{%a.%},kAmaSAmaka
361,"Anarchy,",{%s.%},"aSAsanaM, anISvaratA, rAjavi-"
362,"Anathema,",{%s.%},"aBiSApaH, SApaH, AkroSaH"
363,"Anatomy,",{%s.%},"pfTakkaraRaM, vicCedaH"
364,"Ancestor,",{%s.%},pUrvapuruzaH;
365,"Anchor,",{%s.%},"nObaMDanakIlaH-laM, lAMgalaM"
366,"Anchorite,",{%s.%},"yatiH, AraRyakaH, saMnyAsin"
367,"Ancient,",{%a.%},"purARa, purAtana"
368,"Ancipital,",{%a.%},dviSIrzaka
369,"And,",{%conj.%},ca
370,"Androgynous,",{%a.%},dviliMgaviSizwa
371,"Aneal,",{%v. t.%},tElena aByaMj
372,"Anear,",{%adv.%},"prAyaH,"
373,"Anecdote,",{%s.%},"kaTA, upAKyAnaM, AKyAyikA"
374,"Anemograph,",{%s.%},vAyuvegadigdarSakaM yaMtraM
375,"Anemometer,",{%s.%},vAyuvegamApakaM yaMtraM
376,"Anent,",{%prep.%},"uddiSya, aDikftya, vizaye"
377,"Anew,",{%adv.%},"punaH, punarapi"
378,"Angel,",{%s.%},"devadUtaH, ISvaraprezyaH, svargadUtaH,"
379,"Anger,",{%s.%},"kroDaH, kopaH, amarzaH, rozaH, manyuH"
380,"Angle,",{%s.%},"asraH, koRaH"
381,"Anguish,",{%s.%},"paritApaH, pIqA, bADA, vedanA,"
382,"Anhelation,",{%s.%},"ucCvasanaM, hfdayakaMpaH, vepaTuH"
383,"Animadvert,",{%v. i.%},niMd
384,"Animal,",{%s.%},"jaMtuH, prARin"
385,"Animate,",{%v. t.%},jIv
386,"Animosity,",{%s.%},"dvezaH, vEraM, viroDaH, mAtsaryaM"
387,"Animus,",{%s.%},"codanA, uddeSaH"
388,"Anise,",{%s.%},"CatrA, sAleyaH"
389,"Ankle,",{%s.%},"gulPaH, GuwikA"
390,"Anklet,",{%s.%},"nUpuraH-raM, maMjIraM"
391,"Annals,",{%s.%},"vArzikavfttAMtaH, vArzikavfttetihAsaH"
392,"Annex,",{%v. t.%},saMyuj
393,"Annihilate,",{%v. t.%},ut-samut-Cid
394,"Anniversary,",{%a.%},sAMvatsarika-vArzika
395,"Annotate,",{%v. t.%},wIkAM-BAzyaM-liK
396,"Announce,",{%v. t.%},AKyA
397,"Annoy,",{%v. t.%},bAD
398,"Annual,",{%a.%},vArzika-sAMvatsarika-Abdika
399,"Annuity,",{%s.%},vArzikaM vetanaM
400,"Annul,",{%v. t.%},vi-ava-lup
401,"Annular,",{%a.%},"maMqalAkAra, valayAkAra"
402,"Annulet,",{%s.%},kzudravalayaH-yaM
403,"Anodyne,",{%s.%},SUlaGnaM
404,"Anoint,",{%v. t.%},lip
405,"Anomaly,",{%s.%},"viDi-niyama-viroDaH, aniyamaH,"
406,"Anon,",{%adv.%},"sapadi, SIGraM, Jawiti;"
407,"Anonymous,",{%a.%},avidita-anirdizwa-leKaka-
408,"Another,",{%a.%},"anya-itara-para-apara,"
409,"Answer,",{%v. i.%},uttaraM dA
410,"Ant,",{%s.%},pipIlikA
411,"Antagonist,",{%s.%},"pratipakzaH, vipakzaH, SatruH, vEri-"
412,"Antarctic,",{%a.%},dakziRakeMdrIya
413,"Antecedent,",{%a.%},"pUryagAmin, pUrvagata"
414,"Antechamber,",{%s. Sec%} {@‘Antichamber.’@},
415,"Antedate,",{%v. t.%},prAktanadinaM liK
416,"Antediluvian,",{%a.%},viSvapralayAt prAg vartamAna
417,"Antelope,",{%s.%},"kfzRasAraH, hariRaH, eRaH, mfgaH,"
418,"Anterior,","{%a,%}",prAktana
419,"Anthem,",{%s.%},ISvarastuti
420,"Anthropology,",{%s.%},mAnavajAtiSAstraM
421,"Anthropophagi,",{%s.%},kravyASinaH
422,"Antic,",{%s.%},"BaMqaH, vEhAsikaH"
423,"Antichamber,",{%s.%},upaSAlA
424,"Anticipate,",{%v. t.%},pUrvaM prAgeva-jYA
425,"Antidote,",{%s.%},"vizaGno'gadaH, prativizaM;"
426,"Antimony,",{%s.%},"srotoMjanaM, yAmunaM, sOvIraM"
427,"Antipathy,",{%s.%},"viroDaH, vEraM, dvaMdvaBAvaH, vidvezaH;"
428,"Antiphony,",{%s.%},"pratiDvaniH, pratigAnaM"
429,"Antipodes,",{%s.%},pratilomaM;
430,Antipyrin,"(e), {%s.%}",jvaraGnaM OzaDaM
431,"Antiquary,","{@-rian,@} {%s.%}",prAkkAlInavizayakovi-
432,"Antiquated, Antique,",{%a.%},"prAcIna, purAtana-"
433,"Antiseptic,",{%a.%},pUtinASaka
434,"Antithesis,",{%s.%},"pratipakzatA, viroDaH, arTavE-"
435,"Antitype,",{%s.%},mUlamUrti
436,"Antler,",{%s.%},"hariRaSfMgaM, mfgavizARaM"
437,"Anus,",{%s.%},"gudaM, apAnaM, pAyuH"
438,"Anvil,",{%s.%},"SUrmaH-rmI, sTURA"
439,"Anxiety,",{%s.%},"ciMtA, utkaMWA, OtsukyaM,"
440,"Any,",{%a.%} Ex. by,"cit, cana,"
441,"Apace,",{%adv.%},"satvaraM, SIGraM,"
442,"Apart,",{%adv.%},pfTak; vi-pra-gata
443,"Apathy,",{%s.%},"OdAsInyaM, udAsInatA, vErAgyaM"
444,"Ape,",{%s.%},"vAnaraH, kapiH, plava"
445,"Apepsy,",{%s.%},ajIrRaM
446,"Aperient,",{%s.%},"recakaM, recanaM"
447,"Aperture,",{%s.%},"CidraM, raMDraM, sUkzmaM dvAraM"
448,"Apetalous,",{%a.%},"dalahIna, nizpatra, nirdala"
449,"Apex,",{%s.%},"SiKA, cUqA, agraM; Siras"
450,"Aphorism,",{%s.%},"sUtraM, vacanaM"
451,"Apiary,",{%s.%},maDumakzikA-karaMqaH -ADAraH-
452,"Apiece,",{%adv.%},"ekEkaSaH, pfTak pfTak, ekEkaM"
453,"Apocryphal,",{%a.%},saMdigDapramARa
454,"Apologue,",{%s.%},"upakaTA, upAKyAnaM"
455,"Apology,",{%s.%},"kzamAprArTanA, kzamAyAcanA, svadoza-"
456,"Apophlegmatic,",{%a.%},kaPanASana
457,"Apophthegm,",{%s.%},"sUtraM, vacanaM, nItivacanaM"
458,"Apoplexy,",{%s.%},aMgavikfti
459,"Apostate,",{%s.%},svaDarmatyAgin
460,"Apostle,",{%s.%},"ISvarapreritaH, ISvaradUtaH"
461,"Apostrophe,",{%s.%},saMboDanaM
462,"Apothecary,",{%s.%},OzaDAnAM vikretf
463,"Appall,",{%v. t.%},saM-vi-tras
464,"Apparatus,",{%s.%},"upakaraRaM, sAmagrI"
465,"Apparel,",{%s.%},"veSaH-zaH, vastra, pariDAnaM, ABaraRaM"
466,"Apparent,",{%a.%},"vyakta, aBivyakta, sPuwa, spazwa,"
467,"Apparition,",{%s.%},"ABAsaH, CAyA, AkAraH"
468,"Appeal,",{%v. i.%},punarvicAraM prArT
469,"Appear,",{%v. i.%},udi
470,"Appease,",{%v. t.%},sAM
471,"Appellation,","{%s. See%} {@Name.-Appellative,@}
{%a.%}",aBiDAyin
472,"Append,",{%v. t.%},anubaMD
