Entry No,Word Info,Definition,Transliteration
6564,"Mayor,",{%s.%},"nagarADyakzaH, purAgraRIH"
6565,"Maze,",{%s.%},"gahanaM, kuMwilamArgaH, sugahanasTAnaM,"
6566,"Mead,",{%s.%},"maDu, maDupAnIyaM"
6567,"Meadow,",{%s.%},"kzetraM, gopracAraH, kedAraH"
6568,"Meagre,",{%a.%},"kzAma, kfSa, kzIRa;"
6569,"Meal,",{%s.%},saktu
6570,"Mean,",{%a.%},"maDya, maDyaparimARa-pramARa,"
6571,"Meander,",{%v. i.%},vakraM-kuwilaM-jihmaM-gam
6572,"Measles,",{%s.%},masUrikA
6573,"Measure,",{%v. t.%},mA
6574,"Meat,",{%s.%},"AmizaM, mAMsaM, mAMsAhAraH;"
6575,"Mechanic,",&c. {%See%} under {@Machine.@},
6576,Medal,{%s.%},"mudrA, kIrtimudrA, pratizWAmudrA"
6577,"Meddle,",{%v. i.%},avyApArezu vyApAraM kf
6578,"Medial,",{%a.%},"maDya,"
6579,"Mediate,",{%v. i.%},mADyasTyaM kf
6580,"Medicable,",{%a.%},"cikitsya, upakramya, sADya,"
6581,"Medical,",{%a.%},vEdya
6582,"Medicament,",{%s.%} {@Medicine.@} q. v.,
6583,"Medicaster,",{%s.%},"CadmavEdyaH, kUwacikitsakaH"
6584,"Medicate,",{%v. t.%},OzaDEH miSr
6585,"Medicine,",{%s.%},"OzaDaM, BezajaM, agadaH, BEzajyaM,"
6586,"Medieval,",{%a.%},maDyamakAlIna
6587,"Mediocre,",{%a.%},"sAmAnya, maDyama, sADAraRa"
6588,"Meditate,",{%v.%},DyE
6589,"Mediterranean,",{%a.%},"BUmaDyasTa, BUvezwita,"
6590,"Medium,",{%s.%},"sADanaM, dvAraM, dvAr"
6591,"Medley,",{%s.%},"saMkaraH, sannipAtaH, pra-saM-kIrRakaM,"
6592,"Medulla,",{%s.%},"majjA, medas"
6593,"Meed,",{%s.%},"pAritozikaM, pratiPalaM"
6594,"Meek,",{%a.%},"vinIta, savinaya, namra-SIla-vftti,"
6595,"Meet,",{%v. t.%},saM-i
6596,"Megalomania,",{%s.%},ahaM-BAvaH-kfti
6597,"Megrim,",{%s.%},"SirovedanA, arDAvaBedakaM"
6598,"Melancholy,",{%a.%},"vizaRRa, savizAda, avasanna,"
6599,"Melee,",{%s.%},"raRasaMkulaM, saMkulasaMgrAmaH"
6600,"Meliorate,",{%v. See%} {@Improve.@},
6601,"Melliferous,",{%a.%},"maDuprada, maDudAyin"
6602,"Mellifluous,","{@Mellifluent,@} {%a.%}","maDura, maDu-"
6603,"Mellow,",{%a.%},"pakva, pariRata, pAkamfdu"
6604,"Melody,",{%s.%},"susvaraH, svaramADuryaM, kalatA, mADuryaM,"
6605,"Melon,",{%a.%},"sPuwiPalaM, taraMbujaM, kAliMgaM, sewuH"
6606,"Melt,",{%v. i.%},vi lI
6607,"Member,",{%s.%},"aMgaM, avayavaH, gAtraM, pratIkaH,"
6608,"Membrane,",{%s.%},tvac
6609,"Memento,",{%s.%},"smaraRaM, smArakaM"
6610,"Memoir,",{%s.%},"vfttaM, caritraM, vfttAMtaH, itihAsaH;"
6611,"Memory,",{%s.%},smfti
6612,"Menace,",{%v. t.%},tarj
6613,"Menagerie,",{%s.%},vi(vI)taMsaH; paSupakzisaMgrahaH
6614,"Mend,",{%v. t.%},navIkf
6615,"Mendacious,","{@-city,@} {%See%} {@Liar, Lying,@}
under {@Lie.@}",
6616,"Mendicant,",{%s.%},"BikzuH, BikzukaH, arTin"
6617,"Menial,",{%s.%},"BftyaH prezyaH, dAsajanaH, cewaH-wI,"
6618,"Meniscus,",{%s.%},arDacaMdrAkAraH kAcaH
6619,"Menology,",{%s.%},mAsapaMjikA
6620,"Menses,",{%s.%},"ftuH, ArtavaM, puzpaM, rajas"
6621,"Menstrual,",{%a.%},mAsika
6622,"Menstruum,",{%s.%},"drAvaRaM, vidrAvakarasaH"
6623,"Mensurable,",{%a.%},"prameya, mApya"
6624,"Mensurate,",{%v. t.%},mA
6625,"Mental,",{%a.%},mAnasika
6626,"Mention,",{%v. t.%},kaT
6627,"Mentor,",{%s.%},"upadeSakaH, upadezwf"
6628,"Mephitic,","{@-al,@} {%a.%}","pUtigaMDi, durgaMDamaya"
6629,"Mercantile,",{%See%} under {@Merchant.@},
6630,"Mercenary,",{%a.%},"arTaparavaSa, lABaparAyaRa, lA-"
6631,"Mercer,",{%s.%},kOSayOrRavastravaRij
6632,"Merchant,",{%s.%},vaRij
6633,"Mercury,",{%s.%},"pAradaH, capalaH, rasaH, sUtaH, pA-"
6634,"Mercy,",{%s.%},"dayA, kfpA, karuRA, anukaMpA, anu-"
6635,"Mere,",{%a.%},"kevala, SudDa;"
6636,"Meretricious,",{%a.%},kftrimaSoBAmaya
6637,"Merge,",{%v. i.%},"ni-, masj"
6638,"Meridian,",{%s%},"maDyAhnaH, dinamaDyaM, maDyAhna-"
6639,"Meridional,",{%a.%},dakziRadeSIya; dakziRABimuKa
6640,"Merit,",{%s.%},"guRaH, yogyatA, pAtratA, utkarzaH,"
6641,"Mermaid,",{%s.%},"matsyAMganA, matsyastrI"
6642,"Merry,",{%a.%},"pra-, hfzwa, sAnaMda, sollAsa, protPulla,"
6643,"Meru,",{%s.%},"meruH, sumeruH, hemAdrI, ratnasAnuH,"
6644,"Mesentery,",{%s.%},aMtrapeSI
6645,"Mesh,",{%s.%},jAlaraMDraM-CidraM-aMtaraM
6646,"Meslin,",{%s.%},"miSraDAnyaM, DAnyamiSraRaM"
6647,"Mess,",{%s.%},"annaM, annapAtraM"
6648,"Message,",{%s.%},"saMdeSaH, vAcikaM, saMdeSavAc"
6649,"Messuage,",{%s.%},"vAsagfhaM, gfhavAwikA"
6650,"Metacarpus,",{%s.%},"karaBaH, pIluH"
6651,"Metachronism,",{%s.%},nyUnakAlanirUpaRaM
6652,"Metal,",{%s.%},"DAtuH, lohaH-haM, tEjasaM;"
6653,"Metamorphose,",{%v. t.%},rUpaM pariRam
6654,"Metaphor,",{%s.%},"rUpakaM, lakzaRA, AropaH, upa-"
6655,"Metaphysic,","{@-al,@} {%a.%}",AnvIkzika-ADyAtmika
6656,"Metastasis,",{%s.%},rogasTalAMtaraM
6657,"Metatarsus,",{%s.%},prapadaM
6658,"Metathesis,",{%s.%},akzara-varRa-viparyAsaH-vyatyAsaH-
6659,"Mete,",{%v. t.%},"pari-, mA"
6660,"Metempsychosis,",{%s.%},punarjanman
6661,"Meteor,",{%s.%},"ulkA, utpAtaH"
6662,"Meter,",{%s.%},mApakaH
6663,"Methinks,",{%v. imp.%},"manye, tarkayAmi, SaMke; DruvaM"
6664,"Method,",{%s.%},rIti
6665,"Meticulous,",{%a.%},sASaMka
6666,"Metre,",{%s.%},CaMdas
6667,"Metronome,",{%s.%},tAlamApanI
6668,"Metropolis,",{%s.%},rAjaDAnI
6669,"Mettle,",{%s.%},tejas
6670,"Mew,",{%s.%},"paMjaraM, vItaMsaH"
6671,"Mewl,",{%v. i.%} (,SiSuvat
6672,"Mews,",{%s.%},"aSvagozWaM, aSvaSAlA"
6673,"Miasm,","{@-a,@} {%s.%}","pUtibAzpaH, mArAtmakaH vAyuH"
6674,"Mica,",{%s.%},aBrakaM
6675,"Mickle,",{%a.%},"bahu, bahula"
6676,"Microbe,",{%s.%},sUkzmajaMtu
6677,"Micro-cosm,",{%s.%},sUkzmaM jagat
6678,"Microscope,",{%s.%},sUkzmadarSanayaMtraM
6679,"Micturition,",{%s.%},mUtrotsargecCA
6680,"Mid,",{%a.%},"maDya, maDyama; arDa,"
6681,"Midden,",{%s.%},avakaranikaraH
6682,"Mien,",{%s.%},"AkAraH, rUpaM, Akfti"
6683,"Might,",{%s.%},"balaM, Sakti"
6684,"Migrate,",{%v. i.%},nirgam
6685,Milch,"{@-cow,@} {%s.%}","kzIriRI, payasvatI, dugDavatI,"
6686,"Mild,",{%a.%},"mfdu, komala, sOmya, apraKara, acaMqa,"
6687,"Mile,",{%s.%},arDakoSaH;
6688,"Militant,",{%a.%},"yudDapravftta, raRodyata, yudDodyukta"
6689,"Military,",{%a.%},sAMgrAmika-sAmarika-AyuDika
6690,"Militate,",{%v. i.%},vi-prati-ruD
6691,"Militia,",{%s.%},"deSarakziRaH, rakzakayoDAH"
6692,"Milk,",{%s.%},payas
6693,"Mill,",{%s.%},"cakraM, pezaRI, pezaRayaMtraM-cakraM"
6694,"Millennium, Millenary,",{%s.%},"sahasravarzaM,"
6695,"Millesimal,",{%a.%},sahasratama
6696,"Millet,",{%s.%},"aRuH, priyaMguH"
6697,"Milliner,",{%s.%},"strIvastrakft, strIvasanakAriRI"
6698,"Million,",{%s.%},"niyutaM, daSalakzaM;"
6699,"Milt,",{%s. See%} {@Spleen.@},
6700,"Mime,",{%s.%},"nawaH, nartakaH, kuSIlavaH, cAraRaH,"
6701,"Mimosa,",{%s.%},"namaskArI, gaMqakArI-lI, samaMgA,"
6702,"Minaret,",{%s.%},"SiKaraM, SfMgaM, prAsAda-Bavana-SiKaraM"
6703,"Minatory,",{%a.%},"tarjaka, BayaMkara, BIzaRa"
6704,"Mince,",{%v. t.%},KaMqaSaH-sUkzmalavaSaH-kft
6705,"Mind,",{%s.%},manas
6706,"Mine,",{%a.%},"madIya, mAmakIna, mAmaka"
6707,"Mingle,",{%v. t.%},miSr
6708,"Miniature,",{%a.%},"sUkzmAkAra, sUkzma"
6709,"Minikin,",{%s.%},sUcikA
6710,"Minim,",{%s.%},biMdu
6711,"Minion,",{%s.%},"vallaBaH, priyaH, nfpa-rAja-vallaBaH;"
6712,"Minister,",{%s.%},"sacivaH, maMtrin"
6713,"Minium,","{%s. See%} ‘red lead’ under
{@Lead.@}",
6714,"Minor,",{%a.%},"svalpatara, alpIyas, kanIyas, nyUna,"
6715,"Minotaur,",{%s.%},"nfvfzaH, naravfzaBaH"
6716,"Minstrel,",{%s.%},"mA(ma)gaDaH, vEtAlikaH, baMdin"
6717,"Mint,",{%s.%},"waMkaSAlA, mudrAMkanaSAlA;"
6718,"Minus,",{%a.%},"nyUna, Una"
6719,"Minute,",{%s.%},"kzaRaH, palaM, nimi(me)zaH"
6720,"Minx,",{%s.%},"DfzwA, avinItA, baMDakI, BrazwA,"
6721,"Miracle,",{%s.%},"adButaM, alOkikakriyA-karman"
6722,"Mirage,",{%s.%},"mfgatfzRA-tfzRikA, marIcikA,"
6723,"Mire,",{%s.%},"paMkaH, kardamaH, jaMbAlaH-laM, malaH-laM;"
6724,"Mirror,",{%s.%},"darpaRaH, AdarSaH, mukuraH, AtmadarSaH"
6725,"Mirth,",{%s.%},"hAsyaM, pra-, modaH, ullAsaH, AnaMdaH,"
6726,"Misacceptation,",{%s.%},anyaTA-viparIta-grahaRaM
6727,"Misadventure,",{%s. See%} {@Calamity.@},
6728,"Misanthropy,",{%s.%},"nara-jana-dvezaH, viSvaSatrutA,"
6729,"Misapply,",{%v. t.%},anyaTA-miTyA vini-pa-yuj
6730,"Misapprehend,",{%v. t.%},anyaTA-miTyA-graha
6731,"Mis-appropriate,",{%v. t.%},apahf
6732,"Misbecome,",{%v. t.%},na yuj
6733,"Misbegot,",{%a.%},"vijAta, kujanman"
6734,"Misbehave,",{%v. i.%},asamyak-ayuktaM Acar
6735,"Misbelieve,","{@-belief,@} {%See%} {@Distrust.@}",
6736,"Miscalculate,",{%v. t.%},anyaTA-miTyA-gaR
6737,"Miscall,",{%v. t.%},miTyA aBi-DA
6738,"Miscarry,",{%v. i.%},garBaH sru
6739,"Miscellaneous,",{%a.%},"saM-pra-kIrRa, nAnAviDa,"
6740,"Mischance,",{%s. See%} {@Calamity.@},
6741,"Mischief,",{%s.%},"apakAraH, hAni"
6742,"Miscomputation,",{%s.%},miTyAgaRanA
6743,"Misconceive,",{%v. t.%},miTyA grah
6744,"Misconduct,",{%v. t.%},asamyak nirvah
6745,"Misconjecture,",{%v. t.%},miTyA tark
6746,"Misconstrue,",{%v. t.%},miTyA-anyaTA-arTaM buD
6747,"Miscreant,",{%s.%},"pApaH, KaMqitavfttaH, KalaH, narA-"
6748,"Misdeed,",{%s.%},"duzkftaM, apakriyA, kukarman"
6749,"Misdemean,",{%v. i. See%} {@Misbehave.@},
6750,"Misdirect,",{%v. t.%},vimArgaM dfS
6751,"Misdoer,",{%s.%},"pApaH, pApakarman"
6752,"Misemploy,",{%v. t.%},anyaTA vini-yuj
6753,"Miser,",{%s.%},"kfpaRaH, kadaryaH, kzudraH, mitaMpacaH, kiM-"
6754,"Misery,",{%s.%},"duHKaM, vipad-Apad"
6755,"Misfeasance,",{%s.%},"atikramaH, vikarman"
6756,"Misfortune,",{%s.%},"maMdaBAgyaM, durdEvaM, durBAgyaM,"
6757,"Misgive,",{%v. t.%} Ex. by,vi-A-SaMk
6758,"Misgotten,",{%a%},anyAyArjita
6759,"Misgovern,",{%v. t.%},asamyak SAs
6760,"Misguide,",{%v. t.%},apaTe pat
6761,"Mishap,",{%s. See%} {@Misfortune@},
6762,"Misinform,",{%v. t.%},anyaTA ni-vid
6763,"Misinterpret,",{%v. t. See%} {@Misconstrue.@},
6764,"Misjudge,",{%v. i.%},miTyA-anyaTA-vicar
6765,"Mislay,",{%v. t.%},asTAne ni-DA
6766,"Mislead,",{%v. t.%},pra-tF
6767,"Mislike,",{%v. t. See%} {@Dislike.@},
6768,"Mismanage,",{%v. t.%},asamyak nirvah
6769,"Misname,",{%v. t.%},nAmAMtareRa-anyaTA aBi-DA
6770,"Misnomer,",{%s.%},miTyAnAman
6771,"Misogamy,",{%s.%},vivAhadvezaH-niMdA
6772,"Misogyny,",{%s.%},strIdvezaH-niMdA
6773,"Misplace,",{%v. t.%},asTAne ni-DA
6774,"Misprint,",{%s.%},"aSudDaM, mudraRadozaH"
6775,"Mispronounce,",{%v. t.%},aSudDaM uccar
6776,"Misproportion,",{%v. t. See%} {@Disproportion.@},
6777,"Misquote,",{%v. t.%},anyaTA-ayaTArTaM-udDf
6778,"Misreport,",{%v. t.%},miTyA-anyaTA-nivid
6779,"Misrepresent,",{%v. t.%},miTyA kaT
6780,"Misrule,",{%s.%},"kuSAsanaM, durRIti"
6781,"Miss,",{%s.%} (As a prefixing title) ex. by,"BartfdArikA, kumArI"
6782,Mis,"{@-shaped, -shapen,@} {%a.%}","vi-apa-ku-rUpa,"
6783,"Missile,",{%s.%},"astraM, SastraM, praharaRaM, AyuDaM, kzipaRiH"
6784,"Mission,",{%s.%},"dOtyaM, preraRaM, prezaRaM;"
6785,"Missive,",{%s.%},"saMdeSaH, vAcikaM,"
6786,"Mis-spell,",{%v. t.%},akzrARi paryas
6787,"Mis-spend,",{%v. t.%},vi-kzip
6788,"Mis-state,",{%v. t.%},miTyA-ayaTAtaTaM-anyaTA-
6789,"Mist,",{%s.%},"kUhA, kujJawi-wI-wikA"
6790,"Mistake,",{%s.%},"BramaH, BrAMti"
6791,"Mister,",{%s.%},"AryaH, SrI"
6792,"Mis-timed,",{%a. See%} {@Late.@},
6793,"Mistle-toe,",{%s.%},"vfkzASrayA, tarurohiRI"
6794,"Mistress,",{%s.%},"gfhiRI, gehinI, gfhasvAminI,"
6795,"Mistrust,",{%v. t.%},na viSvas
6796,"Misunderstand,",{%v. t.%},miTyA-anyaTA samarT
6797,"Misuse,",{%v. t.%},miTyA-asamyak pra-vini-upa-
6798,"Mite,",{%s.%},"aRuH, lavaH, kaRaH, leSaH, kaRikA,"
6799,"Mithridate,",{%s.%},"vizanASanaM, vizaGnaM"
6800,"Mitigate,",{%v. t.%},Sam
6801,"Mix,",{%v. t.%},miSr
6802,"Mixen,",{%s.%},viw-purIza-rASiH
6803,"Mizzen-mast,",{%s.%},paScimakUpakaH
6804,"Mizzle,",{%s.%},"tuzAravarzaH, SIkarAsAraH"
6805,"Mnemonic,",{%a.%},"smftisahAyaBUta, smaraRopa-"
6806,"Moan,",{%v. i.%},dIrGaM ru
6807,"Moat,",{%s.%},"pariKA, pratikUpaH, KAtakaM, upakulyA"
6808,"Mob,",{%s.%},"prAkftajanAH, janasamUhaH, aprabudDajana-"
6809,"Mobile,",{%a.%},"asTira, caMcala, capala, carizRu,"
6810,"Mock,",{%v. t.%},viqaMb
6811,"Mode,",{%s.%},rIti
6812,"Model,",{%s.%},"AdarSaH, pratirUpaM, pratimA-mAnaM,"
6813,"Moderate,",{%a.%},"pari-, mita, samaryAda, ni-saM-yata,"
6814,"Modern,",{%a.%},ADunika
6815,"Modest,",{%a.%},"vinIta, lajjAvat, lajjASIla,"
6816,"Modicum,",{%s.%},"alpAMSaH, alpaBAgaH, lavaH,"
6817,"Modify,",{%v. t.%},rUpaM parivft
6818,"Modulate,",{%v. t.%},svaralayaM utpad
6819,"Moiety,",{%s.%},"arDaH-rDaM, arDaBAgaH-aMSaH"
6820,"Moil,","{%v. t.%} {@Dirty,@} q. v. {%-v. i.%}",vrAtaM kf
6821,"Moist,",{%a.%},"Ardra, klinna, sarasa, unna, utta,"
6822,"Molar,",{%s.%},"daMzwrA, carvaRadaMtaH"
6823,"Molasses,",{%s.%},"guqaH, ikzusAraH, mastyaMqI-qikA,"
6824,"Mold,",{%s. See%} {@Mould.@},
6825,"Mole,",{%s.%},"tilakaH, jaqulaH, kAlakaH, pipluH"
6826,"Molecule,",{%s.%},"aRuH, paramARuH, kaRaH"
6827,"Moles,",{%s.%},vyaMgaM
6828,"Molest,",{%v. t.%},bAD
6829,"Mollient,",{%a.%},"mfdukArin, Samaka, SAMtida"
6830,"Mollify,",{%v. t.%},Sam
6831,"Molten,",{%a.%},vilIna;
6832,"Moment,",{%s.%},"kzaRaH, muhUrtaH, nimi(me)zaH, palaM;"
6833,"Momentum,",{%s.%},"javaH, vegaH, A-saM-vegaH"
6834,"Monachism,",{%s.%},"maWavAsaH, saMsAratyAgaH,"
6835,"Monad,",{%s.%},aBedya-acCedya-vastu
6836,"Monarch,",{%s.%},rAjan
6837,"Monastery,",{%s.%},"vihAraH, maWaH, ASramaH, muni-"
6838,"Monday,",{%s.%},"somavAraH-vAsaraH, iMduvAsaraH"
6839,"Monetary,",{%a.%},"dravyasaMbaMDin, mOdrika"
6840,"Money,",{%s.%},"DanaM, arTaH, vittaM, dravyaM, viBavaH, vasu"
6841,"Monger,",{%s.%},vyApArin
6842,"Mongoose,",{%s. See%} {@‘Mungoose.’@},
6843,"Mongrel,",{%a.%},"saMkIrRa, saMkarajAtIya, saMkaraja"
6844,"Monism,",{%s.%},advEtavAdaH
6845,"Monitor,",{%s.%},"SAsakaH, boDakaH, upadeSakaH,"
6846,"Monk,",{%s.%},"yatiH, saMnyAsin"
6847,"Monkey,",{%s.%},"vAnaraH, kapiH, markawaH, plavaM(va)gaH,"
6848,"Monochord,",{%s.%},ekataMtrIvAdyaM
6849,"Monochromatic,",{%a.%},ekavarRa-raMga
6850,"Monochronic,",{%a.%},"samakAlIna, vartamAna"
6851,"Monocrat,",{%s.%},"aDISvaraH, anAyattaSAsanaH"
6852,"Monocular,",{%a.%},ekAkza
6853,"Monogamy,",{%s.%},"sakfdvivAhaH, ekapatnIvrataM,"
6854,"Monologue,",{%s.%},Atma-sva-gataBAzaRaM
6855,"Monomachy,",{%s.%},"dvaMdvaM, niyudDaM, dvaMdvayudDaM"
6856,"Monomania,",{%s.%},ekavizayAsakti
6857,"Monopetalous,",{%a.%},ekadalaviSizwa
6858,"Monoplane,",{%s.%},ekatalaM vimAnaM
6859,"Monopoly,",{%s.%},"ekADikAraH, ananyasADAraRaH"
6860,"Monosyllable,",{%s.%},ekAkzaraM
6861,"Monotheist,",{%s.%},advEtavAdin
6862,"Monotony,",{%s.%},"ekasvaraH-svanaH, svarABedaH, eka-"
6863,"Monsoon,",{%s.%},varzAH
6864,"Monster,",{%s.%},"rAkzasaH, krUra-Gora-karman"
6865,"Month,",{%s.%},mAsaH;
6866,"Monument,",{%s.%},"kIti-yaSaH-staMBaH, smAraka-"
6867,"Mood,",{%s.%},"BAvaH, vftti"
6868,"Moon,",{%s.%},"caMdraH, SaSin"
6869,"Moor,",{%v. t.%},rajjvA baMD
6870,"Moot,",{%v. t.%},vicar
6871,"Mop,",{%s.%},"saMmArjanI, SoDanI"
6872,"Mope,",{%v. i.%},vi-ava-sad
6873,"Moppet,",{%s.%},"vasrapAMcAlikA, pawaputrikA"
6874,"Moral,",{%a.%},"sADu, sADuvftta, sadAcAra, DArmika-"
6875,"Morass,",{%s.%},"kacCaH, anUpaH, anUpaBUH"
6876,"Morbid,",{%a.%},"dUzita, udBrAMta, vikfta, asvasTa,"
6877,"Morbific,",{%a.%},roga-vyADi-kara
6878,"Morbose,",{%a.%},"rogajanita, vyADyudBava"
6879,"Mordacious,",{%a.%},daMSaka
6880,"Mordant,",{%a.%},"ugra, aruMtuda, tIkzRa, niMdAgarBa"
6881,"More,",{%a.%},"aDika, BUyas, aDikatara; uttara,"
6882,"Morganatic,",{%a.%},anuloma
6883,"Moribund,",{%a.%},"mftakalpa-prAya, mumUrzu"
6884,"Moringa,",{%s.%},"so(sO-So-SO)BAjanaM, SigruH,"
6885,"Morion,",{%s.%},"SiraskaM, SirastrARaM, SIrzakaM"
6886,"Morn, Morning,",{%s.%},"vi-pra-BAtaM, pratyu(tyU)-"
6887,"Morose,",{%a.%},"karkaSa-kawu-vakra-svaBAva-prakfti,"
6888,"Morrow,",{%s.%},para
6889,"Morsel,",{%s.%},"kavalaH, grAsaH, piMdaH"
6890,"Morsure,",{%s.%},daMSanaM
6891,"Mortal,",{%s.%},"martyaH, manuzyaH, martyaDarman, janmin,"
6892,"Mortar,",{%s.%},ulU(dU)KalaM;
6893,"Mortgage,",{%s.%},"ADiH, kzetra-sTAvara-ADiH"
6894,"Mortiferous,",{%a.%},maraRAvaha;
6895,"Mortify,",{%v. t.%},aBiBU
6896,"Mortise,",{%s.%},"kAzWasaMDiH, dArusIvanaM, dAru-kAzWa"
6897,"Mortmain,",{%s.%},anyAdeyaBogaH
6898,"Mortuary,",{%s.%},"SmaSAnaM, paretaBUmi"
6899,"Mosaic,",{%a.%},nAnAvarRa
6900,"Mosque,",{%s.%},"yAvanaDarmamaMdiraM, yavanIyaM devatA-"
6901,"Mosquito,",{%s.%},"maSaH, maSakaH"
6902,"Moss,",{%s.%},"SEva(vA)laH, Seva(vA)laH-laM, jala-"
6903,"Most,",{%a.%},"BUyizWa, aDikatama, bahu"
6904,"Mote,",{%s.%},"biMduH, aRuH, lavaH, aRureRuH, paramARuH,"
6905,"Moth,",{%s.%},"SalaBaH, pataMgaH, kIwaH"
6906,"Mother,",{%s.%},mAtf
6907,"Motile,",{%a.%},"cala, jaMgama"
6908,"Motion,",{%s.%},gati
6909,"Motive,",{%a.%},"cAlaka, preraka, pravartaka, hetuka"
6910,"Motley,",{%a.%},"citravicitra, nAnAviDa-varRa, bahu-"
6911,"Motor,",{%s.%},"cAlakaH, prerakaH"
6912,"Mottle,",{%v. t.%},citr
6913,"Motto,",{%s.%},"vAkyaM, vacanaM, AdarSavAkyaM"
6914,"Mould,",{%s.%},"saMskAraH, AkAraH, Akfti"
6915,"Moulder,",{%v. i.%},viSF
6916,"Moult,",{%v. i.%},pakzAn pat
6917,"Mound,",{%s.%},"vapraH-praM, cayaH, setuH, Ali"
6918,"Mount,",{%v. t.%},A-aDi-ruh
6919,"Mount, Mountain,",{%s.%},"parvataH, adriH, giriH,"
6920,"Mountebank,",{%s.%},"miTyA-Cadma-vEdyaH, kUwa-"
6921,"Mourn,",{%v.%},"anu-, Suc"
6922,"Mouse,",{%s.%},"mUza(zi)kaH, AKuH, uMdaruH, bile-"
6923,"Moustache,",{%See%} {@Mustache.@},
6924,"Mouth,",{%s.%},muKaM
6925,"Move,",{%v. i.%},cal-r
6926,"Mow,",{%v. t.%} (,dAtreRa
6927,"Much,",{%a.%},"bahu, bahula, pracura, BUri, vipula, pra-,"
6928,"Mucilage,",{%s.%},medas
6929,"Muck,",{%s.%},purIzaM;
6930,"Mucus,",{%s.%},Slezman
6931,"Mud,",{%s.%},"paMkaH-kaM, kardamaH, jaMbAlaH-laM, SAdaH,"
6932,"Muff,",{%s.%},lomamayaM hastatrARaM
6933,"Muffle,",{%v. t.%} (,vastreRa
6934,"Mug,",{%s.%},"pAnapAtraM-BAjanaM, kaMsaH, jalapAtraM-BAjanaM"
6935,"Muggy, Muggish,",{%a.%},"klinna, klinnanirvAta"
6936,"Mulberry,",{%s.%},"tU(nU)daH, yUpaH, kramukaH,"
6937,"Mulct,",{%s.%},"daMqaH, arTa-Dana-daMqaH"
6938,"Mule,",{%s.%},"aSvataraH, veSa(sa)raH, vegasaraH;"
6939,"Muliebrity,",{%s.%},"strIBAvaH, strItvaM, nArItvaM"
6940,"Mull,",{%v. t.%},vAs
6941,"Muller,",{%s.%},"SilA, SilApawwaH, pezaRaSilA,"
6942,"Mulligrubs,",{%s.%},aMtraSUlaM-vedanA
6943,"Multangular,",{%a.%},"bahukoRa, anekAsra"
6944,"Multifarious,",{%a.%},"viviDa, bahuprakAra-viDa,"
6945,"Multiform,",{%a.%},bahu
6946,"Multilateral,",{%a.%},anekaBuja-pArSva
6947,"Multilineal,",{%a.%},bahureKa
6948,"Multiparous,",{%a.%},"bahuprasava, bahvapatya, bahupraja"
6949,"Multiped,",{%a.%},bahupada
6950,"Multiple,",{%s.%},ADAraH
6951,"Multiplicity,",{%s.%},"bAhulyaM, anekatvaM, prAcuryaM,"
6952,"Multiply,",{%v. t.%},guRayati
6953,"Multipotent,",{%a.%},bahukAryakzama
6954,"Multiradiate,",{%a.%},bahukiraRa
6955,"Multisonous,",{%a.%},bahusvana-Dvani-nAda
6956,"Multitude,",{%s.%},"samUhaH, samuccayaH, gaRaH, nivahaH,"
6957,"Multitudinous,",{%a.%},"bahu, bahula, pracura;"
6958,"Multiversant,",{%a.%},bahurUpaDArin
6959,"Multocular,",{%a.%},bahunetra-locana
6960,"Mum,",{%a.%},"niHSabda, anAlApa"
6961,"Mumble,",{%v.%},aspazwaM vad
6962,"Mummer,",{%s.%},"dAMBikaH, CadmaveSin"
6963,"Mummy,",{%s.%},rakzitaM mftaSarIraM
6964,"Mump,",{%v.%},aspazwaM vad
6965,"Munch,",{%v. t.%},carv
6966,"Mundane,",{%a.%},sAMsArika-lOkika-Ehika-Eha-
6967,"Mungoose,",{%s.%},"nakulaH, baBrUH, aMgUzaH"
6968,"Municipal,",{%a.%},"nagarIya, nagara-pUra-"
6969,"Munificent,",{%a.%},"udAra, vadAnya, dAnaSOMqa,"
6970,"Muniment,",{%s.%},"durgaM, kowaH"
6971,"Munition,",{%s.%},yudDasAmagrI-sajjA
6972,"Mural,",{%a.%},Bitti-prAkAra-saMbaMDin
6973,"Murder,",{%s.%} (,sadvezaM
6974,"Murk,","{@-y,@} {%See%} {@Dark.@}",
6975,"Murmur,",{%s.%},"maMdaDvaniH-ravaH, marmaraDvaniH, kala-"
6976,"Murrain,",{%s.%},"mArI, mahAmArI"
6977,"Muscle,",{%s.%},snAyu
6978,"Muse,",{%v. i.%},DyE
6979,"Museum,",{%s.%},"kOtukAgAraM, durlaBavastusaMgrahaH"
6980,"Mushroom,",{%s.%},"CatraM, CatrakaH;"
6981,"Music,",{%s.%},"gItaM, saMgItaM, saMgIta"
6982,"Musk,",{%s.%},"kastUrI, kastUrikA, mfganABiH, mfga-"
6983,"Musket,",{%s.%},AgneyanAli-lI
6984,"Muslin,",{%a.%},"sUkzmavastraM, sUkzmAMSukaM, aMSukaM"
6985,"Must,","{%v.%} ex. by pot. pass. part. with
or without","avaSyaM, niyataM, nUnaM;"
6986,"Mustaches, Mustachio,",{%s.%},SmaSru
6987,"Mustard,",{%s.%},"sarzapaH, taM"
6988,"Muster,",{%v. t.%},saMgrah
6989,"Mutable,",{%a.%},"vikAravat, asTira, parivartanIya,"
