Entry No   Transliteration                          Word Info            Definition
220        kzetrakarmavizayaka, kfzikarma-          Agronomial,@         {%a.%}

221        tawasTa                                  Aground,@            {%adv.%}

222        kaMpa-SIta-jvaraH, vizamaH;              Ague,@               {%s.%}

223        yudDaparicita, yudDAByasta               Aguerried,@          {%a.%}

224        AH, haMta, hA, aho, ahaha                Ah,@                 {%interj.%}

225        agre, purataH, puraH                     Ahead,@              {%adv.%}

226        saMkalitaM                               Aheap,@              {%adv.%}

227        upakf                                    Aid,@                {%v. t.%}

228        pIq                                      All,@                {%v. t.%}

229        lakzIkf                                  Aim,@                {%v. t.%}

230        vyoman                                   Air,@                {%s.%}

231        pulinaM, antarIpaM                       Ait,@                {%s.%}

232        arDavivfta                               Ajar,@               {%adv.%}

233        sagotra, sanABi, sajAtIya                Akin,@               {%a.%}

234                                                 Alack,@              {%See%} {@Alas.@}

235        OtsukyaM, utsAhaH                        Alacrity,@           {%s.%}

236        sapakza                                  Alar,@               {%a.%}

237        trAsaH, SaMkA, BayaM, sADvasaM           Alarm,@              {%s.%}

238        kazwaM, hA, haMta, hA Dik, ahaha,        Alas,@               {%interj.%}

239                                                 Alate,@              {%a. See%} ‘Alar’.

240        yadyapi                                  Albeit,@             {%adv.%}

241        IzatSveta, SvetaprAya                    Albescent,@          {%a.%}

242        aMqaSuklAMSopama                         Albugineous,@        {%a.%}

243        SuklaM; cakzUrogaH                       Albugo,@             {%s.%}

244        aMqaSuklAMSaH                            Albumen,@            {%s.%}

245        rasavidyA, rasasidDi                     Alchemy,@            {%s.%}

246        madyasAraH                               Alcohol,@            {%s.%}

247        mahaMmadIya DarmagraMTaH                 Alcoran,@            {%s.%}

248        kuMjaH, parRaSAlA, niBftasTAnaM          Alcove,@             {%s.%}

249        purADyakzaH; vfdDa-guru-janaH            Alderman,@           {%s.%}

250        yavasurA-raM, madyaM;                    Ale,@                {%s.%}

251        yadfcCADIna                              Aleatory,@           {%a.%}

252        jAgarUka, dakza, sAvaDAna, avahita,      Alert,@              {%a.%}

253        anyaTA                                   Alias,@              {%adv.%}

254        anyasTAnavartitvaM                       Alibi,@              {%s.%}

255        bIjagaRitaM                              Algebra,@            {%s.%}

256        videSIya, anyadeSIya                     Alien,@              {%a.%}

257        avatF                                    Alight,@             {%v. i.%}

258        pradIpta                                 Alight,@             {%a.%}

259        sadfSa                                   Alike,@              {%a.%}

260        AhAraH, BojanaM                          Aliment,@            {%s.%}

261        jIvat                                    Alive,@              {%a.%}

262        kzAraH, sarjikA,                         Alkali,@             {%s.%}

263        sarvaM, aKilaM, sAkalyaM                 All,@                {%s.%}

264        pra-upa-Sam                              Allay,@              {%v. t.%}

265        pratijYA                                 Allege,@             {%v. t.%}

266        nizWA, Bakti                             Allegiance,@         {%s.%}

267        rUpakaM, dfzwAMtaH                       Allegory,@           {%s.%}

268        upa-pra-Sam                              Alleviate,@          {%v. t.%}

269        udyAnapaTaH, vITi-TI                     Alley,@              {%s%}

270        saM-anu-baMD                             Alligate,@           {%v. t.%}

271        nakraH, grAhaH                           Alligator,@          {%s.%}

272        anuprAsaH                                Alliteration,@       {%s.%}

273        sTAnaM dA                                Allocate,@           {%v. t.%}

274        parikxp                                  Allot,@              {%v. t.%}

275        anujYA                                   Allow,@              {%v. t.%}

276        miSraRaM, dozaH, nyUnatA                 Alloy,@              {%s.%}

277        uddiSya-aDikftya vad                     Allude,@             {%v. t.%}

278        hf                                       Allure,@             {%v. t.%}

279        pulinaM, nadIrayasamAhftA mfttikA        Alluvium,@           {%s.%}

280        mitraM, sahAyaH, pakzyaH, sahakArin      Ally,@               {%s.%}

281        paMjikA, paMcAMgaM                       Almanac,@            {%s.%}

282        sarvaSaktimat, amitOjas; sarva-          Almighty,@           {%a.%}

283        vAtAmaPalaM                              Almond,@             {%s.%}

284        BikzAdAnagfhaM, BEkzyaSAlA               Almonry,@            {%s.%}

285        prAya, BUyizWa, kalpa,                   Almost,@             {%adv.%}

286        Bakzya, BikzA, BikzAdAnaM;               Alms,@               {%s.%}

287        sahA; kumArIrasodBavo bolaH              Aloe,@               {%s.%}

288        UrDvaM, upari;                           Aloft,@              {%adv.%}

289        eka, advitIya, ekAkin                    Alone,@              {%a.%}

290        anu                                      Along,@              {%prep.%}

291        dUre, aMtare, pfTak;                     Aloof,@              {%adv.%}

292        akeSatA, keSahInatvaM                    Alopecia,@           {%s.%}

293        uccEH, ucca-tAra-svareRa                 Aloud,@              {%adv.%}

294        varRamAlA                                Alphabet,@           {%s.%}

295        pUrvaM, purA, prAk,                      Already,@            {%adv.%}

296        api, ca                                  Also,@               {%adv.%}

297        vedi-dI                                  Altar,@              {%s.%}

298        anyaTA kf                                Altar,@              {%v. t.%}

299        vivad                                    Altercate,@          {%v. i.%}

300        liMgadehaH, sUkzmaSarIraM                Alter-ego,@          {%s.%}

301        paryAya                                  Alternate,@          {%a.%} Ex. by

302        yadyapi, api                             Although,@           {%conj.%}

303        uccatvamApakaM yaMtraM                   Altimeter,@          {%s.%}

304        uccatvaM, ucCrAyaH, utseDaH              Altitude,@           {%s.%}

305        sarvaTA, sarvataH, aSezataH,             Altogether,@         {%adv.%}

306        sPawI, tuvarI, sOrAzwrI, sPAwikI         Alum,@               {%s.%}

307        maDukozaH;                               Alveary,@            {%s.%}

308        sadA, sarvadA, aniSaM, satataM,          Always,@             {%adv.%}

309        prasaBaM, prasahya, balAt, savegaM,      Amain,@              {%adv.%}

310        kAMsyaM, miSraDAtuH, pAradasaMsfzwa-     Amalgam,@            {%s.%}

311        leKakaH, lipikAraH                       Amanuensis,@         {%s.%}

312        amlAnapuzpaM                             Amaranth,@           {%s.%}

313        saMci                                    Amass,@              {%v. t.%}

314        kAmin, premaSIla, SfMgArapriya           Amatory,@            {%a.%}

315        vismi                                    Amaze,@              {%v. t.%}

316        vakrokti                                 Ambages,@            {%s.%}

317        dUtaH, rAjadUtaH, praRiDiH, saM-         Ambassador,@         {%s.%}

318        tfRamaRiH                                Amber,@              {%s.%}

